Year RCP3PD RCP45 RCP45SCP45TO3PD RCP6 RCP6SCP6TO45 RCP85
1765 0.003 0.003 0.003 0.003 0.003 0.003
1766 0.003 0.003 0.003 0.003 0.003 0.003
1767 0.003 0.003 0.003 0.003 0.003 0.003
1768 0.003 0.003 0.003 0.003 0.003 0.003
1769 0.003 0.003 0.003 0.003 0.003 0.003
1770 0.003 0.003 0.003 0.003 0.003 0.003
1771 0.0039999999 0.0039999999 0.0039999999 0.0039999999 0.0039999999 0.0039999999
1772 0.0039999999 0.0039999999 0.0039999999 0.0039999999 0.0039999999 0.0039999999
1773 0.0039999999 0.0039999999 0.0039999999 0.0039999999 0.0039999999 0.0039999999
1774 0.0039999999 0.0039999999 0.0039999999 0.0039999999 0.0039999999 0.0039999999
1775 0.0039999999 0.0039999999 0.0039999999 0.0039999999 0.0039999999 0.0039999999
1776 0.0039999999 0.0039999999 0.0039999999 0.0039999999 0.0039999999 0.0039999999
1777 0.0039999999 0.0039999999 0.0039999999 0.0039999999 0.0039999999 0.0039999999
1778 0.0039999999 0.0039999999 0.0039999999 0.0039999999 0.0039999999 0.0039999999
1779 0.0039999999 0.0039999999 0.0039999999 0.0039999999 0.0039999999 0.0039999999
1780 0.0039999999 0.0039999999 0.0039999999 0.0039999999 0.0039999999 0.0039999999
1781 0.0049999999 0.0049999999 0.0049999999 0.0049999999 0.0049999999 0.0049999999
1782 0.0049999999 0.0049999999 0.0049999999 0.0049999999 0.0049999999 0.0049999999
1783 0.0049999999 0.0049999999 0.0049999999 0.0049999999 0.0049999999 0.0049999999
1784 0.0049999999 0.0049999999 0.0049999999 0.0049999999 0.0049999999 0.0049999999
1785 0.0049999999 0.0049999999 0.0049999999 0.0049999999 0.0049999999 0.0049999999
1786 0.0049999999 0.0049999999 0.0049999999 0.0049999999 0.0049999999 0.0049999999
1787 0.0049999999 0.0049999999 0.0049999999 0.0049999999 0.0049999999 0.0049999999
1788 0.0049999999 0.0049999999 0.0049999999 0.0049999999 0.0049999999 0.0049999999
1789 0.0049999999 0.0049999999 0.0049999999 0.0049999999 0.0049999999 0.0049999999
1790 0.0049999999 0.0049999999 0.0049999999 0.0049999999 0.0049999999 0.0049999999
1791 0.0059999999 0.0059999999 0.0059999999 0.0059999999 0.0059999999 0.0059999999
1792 0.0059999999 0.0059999999 0.0059999999 0.0059999999 0.0059999999 0.0059999999
1793 0.0059999999 0.0059999999 0.0059999999 0.0059999999 0.0059999999 0.0059999999
1794 0.0059999999 0.0059999999 0.0059999999 0.0059999999 0.0059999999 0.0059999999
1795 0.0059999999 0.0059999999 0.0059999999 0.0059999999 0.0059999999 0.0059999999
1796 0.0059999999 0.0059999999 0.0059999999 0.0059999999 0.0059999999 0.0059999999
1797 0.0069999999 0.0069999999 0.0069999999 0.0069999999 0.0069999999 0.0069999999
1798 0.0069999999 0.0069999999 0.0069999999 0.0069999999 0.0069999999 0.0069999999
1799 0.0069999999 0.0069999999 0.0069999999 0.0069999999 0.0069999999 0.0069999999
